255	255	0
158	123	238
217	245	24
227	119	224
104	52	154
247	50	179
5	164	180
106	42	82
52	25	201
209	17	62
169	68	60
167	113	199
68	71	19
182	83	161
145	6	75
151	64	100
171	116	156
123	9	88
222	86	181
87	238	116
143	90	74
47	157	249
131	101	26
181	130	195
233	52	242
189	11	131
176	229	221
44	56	193
137	53	139
40	208	102
7	50	61
186	82	65
186	82	65
81	254	153
195	80	233
213	179	165
211	65	57
164	255	98
146	219	205
172	138	140
119	53	23
88	215	102
245	204	198
233	132	183
125	87	14
104	43	221
6	215	181
183	139	16
166	136	150
1	144	219
195	226	123
209	45	230
56	215	252
131	170	234
234	208	36
2	24	19
234	184	115
12	238	125
76	226	57
134	31	77
204	202	208
204	202	208
204	202	208
163	149	159
87	148	148
183	107	171
135	154	33
108	209	206
108	209	206
15	246	97
184	140	147
24	58	157
137	145	117
244	129	155
6	61	53
152	75	145
38	140	8
220	61	37
229	12	129
158	126	11
